query,accuracy
pos121607_114898_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/120617/0_9513,0%
pos246652_247899_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/121051/16748_20894,0.00%
pos258086_261196_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/121241/0_3277,50.00%
pos161975_159911_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/12225/5017_9232,0%
pos156884_161082_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/12232/0_6817,37.50%
pos245793_246259_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122543/1982_8009,0%
pos254650_258079_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122782/0_5809,71.43%
pos55642_47629_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122896/0_9839,15.38%
pos80887_83282_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122940/8328_12177,40.00%
pos92877_87242_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123045/0_8180,0%
pos52375_48499_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123243/4360_14026,0%
pos203950_207777_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123613/0_3890,42.86%
pos264452_270773_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123756/0_6307,66.67%
pos260042_255095_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123808/2117_7163,0%
pos112673_112604_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/12407/7580_15115,0%
pos94573_97639_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124103/0_6141,75.00%
pos133057_135284_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124125/1117_7065,53.85%
pos66870_62759_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124424/5056_12792,0%
pos224849_216328_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124468/0_14043,0%
"pos32806_26281_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124485/0_6794
",0%
pos48186_40248_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124547/0_12820,0.00%
pos149485_152573_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124848/0_4099,100.00%
pos62860_66858_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/125261/10707_16117,28.57%
pos19684_24465_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/125408/0_10863,52.38%
pos43165_40255_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/125411/2940_10308,0%
pos32447_26402_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/126208/0_11078,0%
pos142949_144990_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/126433/1082_12217,33.33%
pos211687_217821_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/126577/0_6423,0.00%
pos111575_114734_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/126812/0_3230,75.00%
pos163301_163387_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/127315/10041_15521,0%
pos120493_125707_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/127406/0_5438,0.00%
pos37733_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/127717/0_5748,48.15%
pos217456_218914_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/127747/16639_20713,0.00%
pos27240_34926_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/127936/5964_14066,25.00%
pos89040_79418_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/127986/0_11971,0%
pos277341_273560_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/128166/0_9852,0%
pos26278_35921_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/128536/3225_14328,50.00%
pos50535_55642_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/12862/0_6279,25.00%
pos35133_35349_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/129403/4433_10803,0%
pos14129_21418_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/129674/0_9370,60.00%
pos275088_277341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/130975/0_9890,100.00%
pos209063_207023_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/131583/5918_9875,0%
pos259802_262904_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/131593/2380_6597,0.00%
pos265966_270306_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/132013/0_4479,53.85%
pos16901_19128_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/132206/2271_9221,0.00%
pos204764_201528_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/132477/4236_12728,0%
pos152514_148877_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/132634/0_3707,0%
pos33019_29467_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/132830/10862_15076,0%
pos280636_283432_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/133118/0_6330,83.33%
pos87513_81961_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/133324/4185_14064,0%
pos239941_243634_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/133354/0_4299,34.62%
pos82961_88205_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/13360/3206_10591,30.77%
"pos173967_175023_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/133806/5245_11746
",0%
pos277499_278142_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/134058/2259_7278,11.11%
pos91023_93405_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/13414/0_12315,75.00%
pos159921_158040_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/135512/7083_10416,0%
pos238610_237606_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/136220/0_5817,0%
pos73184_67642_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/136257/435_6176,0%
pos93253_80231_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/136331/0_12753,0%
pos87325_91940_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/136463/2161_12972,70.00%
pos272821_269312_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/137084/0_8779,0%
pos42629_45915_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/137267/0_3389,57.14%
pos223322_215954_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/138162/0_7606,0%
pos211652_217332_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/139109/0_7129,40.00%
pos276358_277340_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/139786/3405_8904,66.67%
pos194003_198326_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/139911/868_14837,55.56%
pos66869_61301_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/140183/0_8333,0%
pos34645_27669_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/140805/717_7947,0%
pos37733_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/141069/0_4717,45.45%
pos221913_224846_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/141503/0_5113,45.45%
pos81395_83380_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/141569/0_8907,0.00%
pos104404_92722_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/142114/0_12862,0%
pos264307_271423_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/142486/0_7704,90.00%
pos260268_254841_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/143498/4337_14065,0%
pos189846_186951_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/14401/2623_8703,0%
