query,accuracy
pos66870_61683_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/51671/0_8576,0%
pos282284_283427_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/52183/1503_11178,45.00%
pos163818_165662_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/52286/1853_5248,100.00%
pos79043_71873_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/52471/0_6940,0%
pos277341_272223_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/52692/0_7498,0%
pos184671_181991_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/53019/1933_5062,0%
pos104404_99515_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/53222/0_7505,0%
pos243644_240026_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/53281/0_9081,0%
pos138003_134863_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/54059/3109_6501,0%
pos86841_77729_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/54137/0_9331,0%
pos114791_113273_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/54304/10573_16936,0%
pos62127_66870_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/54332/0_7249,63.64%
pos80435_87301_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/5440/4380_12921,50.00%
pos255703_254650_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/54981/0_4055,0%
pos94034_92839_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/55201/0_4513,0%
pos195253_201670_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/55278/350_7020,25.00%
pos108722_109558_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/55960/8919_14514,0%
pos173524_167637_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/56541/2170_8526,0%
pos136307_133057_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/57703/4290_7891,0%
pos17235_23221_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/57757/0_6053,83.33%
pos123962_122123_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/57820/420_5817,0%
pos67423_74717_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/58326/0_8001,40.00%
pos43912_46819_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/58789/891_14439,40.54%
pos265382_267776_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/59063/0_3068,33.33%
pos182654_178314_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/59988/384_12074,0%
pos150363_147431_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/60088/0_3068,31.25%
pos55639_49042_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/60279/0_7100,0%
pos56618_59832_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/60964/7119_10731,0.00%
pos102503_100858_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/61126/0_3138,0%
pos87357_99912_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/61292/0_12906,75.00%
pos211590_212913_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/61305/280_3674,0%
pos277503_278146_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/62090/4939_10124,100.00%
pos208192_207302_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/62764/7066_11980,0%
pos43851_40248_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/62819/0_9892,0%
pos268894_261568_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/62840/0_7796,0%
pos52615_47097_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/62869/0_7193,0%
pos165680_152244_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/62951/0_14987,0%
pos152775_151463_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/63004/177_4411,0%
pos185564_176961_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/63006/1309_9976,0%
pos140447_146827_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/63569/0_7292,0.00%
pos181296_179359_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/64619/0_7507,0%
pos236843_240941_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/64849/1998_8042,75.00%
pos132163_128465_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/64987/2019_6681,0%
pos76341_86909_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/65450/0_10449,44.44%
pos86911_83303_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/65574/550_12872,0%
pos86940_91565_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/65672/0_4820,33.33%
pos81061_71239_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/66191/0_9866,0%
pos275684_277341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/6632/0_11358,60.00%
pos40248_43181_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/66628/0_6713,57.14%
pos127931_130532_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/67040/3450_8752,20.00%
pos209515_212170_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/67573/0_4367,80.00%
pos245793_247728_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/6762/0_9693,15.38%
pos245570_243973_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/68969/0_3665,0%
"pos1_4830_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/692/0_5035
",0%
pos224849_222462_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/69390/0_5771,0%
pos198964_202026_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/69846/3262_6347,100.00%
pos197780_200217_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/69914/0_3147,0.00%
pos125164_114933_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/70292/0_13933,0%
pos31163_26906_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/70752/5406_10165,0%
pos48903_45003_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/70852/5772_14746,0%
pos40403_46256_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/71023/389_9279,75.00%
pos187512_179949_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/71068/0_7719,0%
pos90761_96070_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/72048/0_6209,57.14%
pos84452_89804_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/72900/0_7349,100.00%
pos86183_81236_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/73155/0_5048,0%
pos236846_239192_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/74763/0_7476,44.44%
pos51648_49259_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/74986/0_4626,0%
pos196240_182996_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/75320/291_18015,0%
pos241329_243117_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/76329/11843_16238,37.50%
pos19435_24279_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/7658/0_7995,20.00%
pos259321_261541_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/76756/0_3491,0%
pos70474_66970_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/76764/325_9726,0%
pos278147_277486_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/77134/9534_15482,0%
pos178833_170311_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/77320/0_8668,0%
pos45980_42135_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/78613/0_3807,0%
pos73091_75044_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/80035/4782_8801,0.00%
pos194009_187584_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/80317/0_6799,0%
pos75072_68702_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/80636/0_10282,0%
pos82508_86651_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/807/0_9103,100.00%
pos9401_7621_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/8207/0_4955,0%
pos54548_41630_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/82114/0_13789,0%
pos58165_59832_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/82806/0_9226,50.00%
pos134539_140158_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/82931/851_13193,57.89%
pos118977_123994_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/83437/2500_12542,66.67%
pos224045_218533_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/83549/185_5916,0%
pos83879_87703_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/84070/706_5620,66.67%
pos127870_132312_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/84963/0_6368,33.33%
pos167348_169707_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/85385/6520_11146,50.00%
pos245541_243973_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/8561/0_3966,0%
pos16593_17190_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/87007/3487_11413,0%
pos183598_188784_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/8707/0_5302,20.00%
pos140158_134708_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/87374/0_6928,0%
pos238077_242558_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/873/976_14788,80.00%
pos202901_206056_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/88380/0_7659,28.57%
pos195811_199006_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/88502/0_3395,33.33%
pos40146_37733_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/88764/4308_12900,0%
pos196372_197618_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/88811/13171_17765,0%
pos156628_155881_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/89392/0_10636,0%
pos85729_92064_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/91489/7189_16161,40.00%
pos72706_70379_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/91705/7602_14230,0%
pos263564_268528_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/91791/0_5288,100.00%
pos140447_143383_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/92653/6967_12423,66.67%
pos150523_147923_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/93144/723_5597,50.00%
pos72198_66978_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/94253/0_9664,0%
pos23491_23364_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/94281/6992_11295,0%
pos76876_85859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/94923/0_9369,80.00%
pos7550_14005_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/9496/0_7055,0.00%
pos94891_92428_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/95064/6254_10834,0%
pos209095_201366_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/9509/0_8305,0%
pos66870_62005_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/95118/4001_13651,0%
pos257203_260440_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/96286/0_3442,100.00%
pos145237_141140_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/9663/3244_8182,0%
pos221585_218173_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/96812/0_15081,0%
pos125656_123479_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/96935/0_4354,0%
pos247908_245793_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/96950/0_7505,0%
pos81337_72741_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/98212/7926_16765,0%
pos231153_229303_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/98250/407_7078,0%
pos71131_76207_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/98506/0_5321,50.00%
pos224425_217667_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/9888/0_6951,0%
pos240776_243644_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/98896/0_8018,40.00%
pos113074_114592_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/98941/0_3710,0.00%
pos206434_208626_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/99364/3721_9303,20.00%
pos53557_48978_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/99365/0_4857,0%
pos209516_212288_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/99716/9079_14423,100.00%
"pos13792_11634_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/100032/0_3171
",0%
pos108614_106774_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/100453/1300_5655,0%
pos194643_199238_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/101044/0_4925,66.67%
pos103341_98516_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/101077/0_7698,0%
pos190819_193774_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/101116/0_4073,25.00%
pos209515_213198_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/101117/0_6720,40.00%
pos270444_273723_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/101474/2263_15665,0.00%
pos197688_194037_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/102131/1448_5124,0%
pos266152_272467_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/102560/0_6770,33.33%
pos11715_2721_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/102795/1073_13583,0%
pos93820_90668_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/103115/0_3365,0%
pos126365_116137_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/103150/673_13323,0%
pos243644_238249_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/103399/0_10561,0%
pos61319_63399_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/104260/599_6667,0.00%
"pos200660_199325_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/104555/11112_15846
",0%
pos241219_238479_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/10509/0_10072,0%
pos194731_194438_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/105276/0_4327,0%
pos32125_35921_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/105806/0_8647,33.33%
pos114898_117458_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/106437/0_4836,55.56%
pos250153_253046_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/10651/0_9975,47.62%
pos72383_75408_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/107042/0_4043,66.67%
pos96480_95832_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/107147/0_3560,0%
pos231658_233255_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/107359/5711_11039,0.00%
pos275791_273385_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/107741/4252_12245,0%
pos151639_159071_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/107980/2625_12698,66.67%
pos32713_27342_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/108038/0_5440,0%
pos44987_51934_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/108268/7841_15959,14.29%
pos147967_155417_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/108300/0_7484,66.67%
pos180613_176320_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/108301/0_4444,0%
pos63509_66870_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/108939/0_4317,33.33%
pos19170_24363_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109090/0_5296,100.00%
pos199713_195186_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109468/2990_13555,0%
pos232214_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109513/0_8887,75.00%
pos88006_83001_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109842/7938_13745,0%
pos170037_173759_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/110150/0_4996,0.00%
pos189974_183348_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/110385/7329_14208,0%
pos106772_108955_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/110386/0_3100,55.56%
pos137565_139391_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/110709/0_5819,75.00%
pos180002_176648_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/111561/8879_12728,0%
pos31832_34807_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/111779/0_4411,0%
pos158902_152370_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/112521/0_6055,0%
pos239665_237284_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/112758/1205_4317,0%
pos209966_216121_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/113275/0_6577,25.00%
pos104593_106565_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/113441/1260_5167,44.44%
pos247908_245793_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/114369/0_6139,0%
pos206754_203558_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/114714/0_4126,0%
pos247908_245793_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/114796/0_5011,0%
pos177088_183417_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/114840/0_6569,80.00%
pos181102_185624_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/115004/5667_10301,0.00%
pos224846_221137_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/115136/0_4111,0%
pos140447_142549_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/115504/0_4130,80.00%
pos135403_133080_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/115606/0_3934,0%
pos269597_260360_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/115879/0_9216,0%
pos153461_150399_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/116964/649_9175,0%
pos278147_277441_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/117053/0_10013,0%
pos20907_23975_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/117406/15230_23561,100.00%
pos43267_46287_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/117744/2143_9530,100.00%
pos51261_53559_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/118058/461_4780,100.00%
pos54014_55642_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/11814/3560_8424,0%
pos225670_228994_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/118565/6127_11750,20.00%
pos262018_265177_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/119423/424_3768,0.00%
pos278145_277494_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/120151/9094_12615,0%
pos243644_241427_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/120206/0_8768,0%
pos246424_245793_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/120721/7464_17243,0%
pos104594_106555_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/120918/14881_19905,25.00%
pos66970_70846_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/121836/1899_9657,14.29%
pos155604_156082_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/121853/10278_13471,0%
pos266630_269194_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/122147/840_3864,50.00%
pos71759_77076_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/122227/0_5683,71.43%
"pos213937_213292_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/122323/0_6712
",0%
pos143122_152371_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/122333/0_9267,20.00%
pos234823_233284_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/122463/16861_22004,0%
pos114899_121198_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/122611/9021_15676,40.00%
pos147560_146697_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/122678/0_3833,0%
pos75148_77249_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/123041/4529_8635,33.33%
pos83060_89038_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/123355/3141_9776,50.00%
pos50242_45379_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/12404/0_5097,0%
pos173888_171938_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/124137/2527_5834,0%
pos213991_215702_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/124138/7527_10562,33.33%
pos148091_156586_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/124195/1386_11043,50.00%
pos133828_137323_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/124295/3752_12070,53.33%
pos180760_185133_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/124481/3862_8228,66.67%
pos158572_155567_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/124570/0_3279,0%
pos12676_9524_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/125288/6202_9647,0%
pos93627_90271_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/125411/0_6162,0%
pos191198_198665_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/125470/7094_15627,100.00%
pos236857_235968_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/126461/8070_12226,0%
pos107346_110643_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/126984/0_3761,14.29%
pos32555_26277_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/127002/5131_13075,0%
pos233604_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/127744/6789_12568,66.67%
pos243644_236845_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/128069/0_12999,0%
pos101402_99075_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/128327/1623_14467,0%
pos213942_224049_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/128500/0_10870,0.00%
pos114788_113074_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/129201/6602_9707,0%
pos261908_258202_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/130495/0_3778,0%
pos209000_203421_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/13060/0_5674,0%
pos91357_88853_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/130679/0_3442,0%
pos114786_109525_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/131394/0_11094,0%
pos19552_23013_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/131796/5178_10559,33.33%
pos122706_119206_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/131962/0_4212,0%
pos31847_26274_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/132016/0_8522,25.00%
pos271729_267985_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/132203/4352_8423,0%
pos97750_96652_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/132273/15389_22226,0%
pos69926_67457_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/132299/0_6057,0%
pos164019_149783_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/132571/0_14377,0%
pos280636_283432_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/132619/0_4750,50.00%
pos98899_96138_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/13276/0_4867,0%
pos218571_214624_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/133388/0_3930,0%
pos85658_81401_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/133554/0_4290,0%
pos140447_143208_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/133587/7750_13433,25.00%
pos195007_191185_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/133628/6240_15521,0%
pos274227_265297_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/133922/0_9631,0%
pos216776_223612_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/134079/0_8088,20.00%
pos265169_258695_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/134353/10914_17760,0%
pos260189_257107_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/134998/902_10256,0%
pos241974_243644_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/135256/1034_6127,18.52%
pos106672_105294_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/135266/0_4579,0%
pos186988_174244_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/135298/1772_15018,0%
pos96214_88907_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/135716/0_7454,0%
pos124360_123151_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/136061/5249_10175,0%
pos49473_54721_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/136121/0_5395,100.00%
pos93830_87812_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/137201/0_6335,0%
pos49728_42693_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/137453/0_9056,0%
pos209095_199731_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/137506/0_10830,0%
pos29215_31822_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/13754/9679_17497,0.00%
pos97521_91061_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/138836/0_6691,0%
pos17946_14139_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/138908/0_7475,0%
pos89596_84742_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/139765/0_5146,0%
pos75489_67418_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/139913/0_9134,0%
pos63570_66870_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/139920/0_7727,33.33%
pos92797_99112_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/141019/640_8484,38.46%
pos219230_223098_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/141082/13731_18036,33.33%
pos214323_221960_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/141300/0_8087,100.00%
pos176242_183348_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/141716/3051_10451,100.00%
pos162531_147253_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/141849/0_15596,50.00%
pos21826_24465_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/142478/0_3112,0%
"pos120554_114938_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/142525/0_6464
",0%
pos181451_180690_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/142548/0_3421,0%
pos196355_189487_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/142979/0_7033,0%
pos208511_202054_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/143130/537_7020,0%
pos278147_277486_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/143547/718_7421,0%
pos86910_82157_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/143855/13349_20794,0%
pos254651_257758_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/144107/7936_16945,0%
pos61288_63931_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/144319/0_3550,0.00%
pos74249_78957_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/145206/1799_16935,14.29%
pos144452_141187_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/145223/1785_7663,0%
pos54503_55072_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/145574/0_3706,0%
pos275265_272132_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/146201/15143_20169,0%
pos79205_69824_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/147017/0_10761,0%
pos108351_106772_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/147255/9490_13869,0%
pos95717_88548_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/148572/0_7268,0%
pos196616_193617_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149272/0_3319,0%
pos133057_135623_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149294/412_6772,62.50%
pos240410_243482_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149422/9826_14546,0.00%
pos180271_175974_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/14958/0_7354,0%
pos76568_75596_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149605/3542_9673,0%
pos239417_241547_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149870/7550_14197,100.00%
pos236848_241284_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149886/541_6603,85.71%
pos146015_143306_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149963/6019_9349,0%
pos24174_20258_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/152225/2068_9438,0%
